"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE950948383874";"WP OSB WEA4";"In Betrieb";"Wind";"2000";"2000";"1/7/2009";"4/17/2019";"Sachsen";"09328";"Lunzenau";"";"";"Obersteinbach";"95/2";"14522350";"50,933416";"12,657444";"";"";"Obersteinbach/Penig";"108";"82";"ENERCON GmbH";"Enercon E-82";"";"";"Horizontalläufer";"Windkraft an Land";"7/6/2021";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE971285163783";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL981833990990";"EEG917622009826";"E41081010000000000000000000127387";"1/7/2009";"2000";"";"";"";"";""
"SEE951131394431";"WP OSB WEA5";"In Betrieb";"Wind";"2000";"2000";"2/20/2007";"4/17/2019";"Sachsen";"09328";"Lunzenau";"";"";"Obersteinbach";"14/7";"14522350";"50,935332";"12,655636";"";"";"Obersteinbach/Penig";"108";"82";"ENERCON GmbH";"Enercon E-82";"";"";"Horizontalläufer";"Windkraft an Land";"8/4/2022";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE971285163783";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL981833990990";"EEG971532147818";"E41081010000000000000000000015039";"2/22/2007";"2000";"";"";"";"";""
"SEE908694414496";"WP UHD WEA1";"In Betrieb";"Wind";"1000";"1000";"2/8/2002";"4/17/2019";"Sachsen";"08468";"Heinsdorfergrund";"";"";"Unterheinsdorf";"376";"14523150";"50,602501";"12,313942";"";"";"Unterheinsdorf";"70";"58";"ENERCON GmbH";"Enercon E-58";"";"";"Horizontalläufer";"Windkraft an Land";"5/5/2023";"";"";"Windstromer GmbH & Co. Bergert ＆ Gumpert KG";"ABR953744539186";"Volleinspeisung";"SGE939914593646";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL974434442388";"EEG953142087630";"E41081010000000000000000000007639";"2/8/2002";"1000";"";"";"";"";""
"SEE926909843206";"93233";"In Betrieb";"Wind";"2050";"2050";"4/11/2015";"4/23/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Lautzschen";"91/1";"14627130";"51,130305";"13,205211";"";"";"Windpark Wölkisch GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM92";"";"";"Horizontalläufer";"Windkraft an Land";"9/11/2023";"";"";"Windpark Wölkisch GmbH & Co. KG";"ABR993614785169";"Volleinspeisung";"SGE919066915831";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG992116252865";"E41874010000000000314103439300001";"4/11/2015";"2050";"";"";"";"";""
"SEE974495311029";"93229";"In Betrieb";"Wind";"2050";"2050";"4/2/2015";"4/23/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Zscheilitz";"95";"14627130";"51,215542";"13,3513";"";"";"Windpark Wölkisch GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM92";"";"";"Horizontalläufer";"Windkraft an Land";"11/10/2021";"";"";"Windpark Wölkisch GmbH & Co. KG";"ABR993614785169";"Volleinspeisung";"SGE919066915831";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG999800600704";"E41874010000000000314103439200001";"4/2/2015";"2050";"";"";"";"";""
"SEE998445645705";"WP SB WEA2";"In Betrieb";"Wind";"1800";"1800";"11/7/2001";"4/24/2019";"Sachsen";"09661";"Striegistal";"";"";"Etzdorf";"347 und 348";"14522230";"51,035341";"13,183396";"";"";"Saubusch";"65";"66";"ENERCON GmbH";"E66/18.70-3";"";"";"Horizontalläufer";"Windkraft an Land";"5/26/2023";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE923661453728";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL931948403274";"EEG967927248611";"E41081010000000000000000000008238";"11/7/2001";"1800";"";"";"";"";""
"SEE947412266399";"WP SB WEA13";"In Betrieb";"Wind";"1800";"1800";"11/13/2001";"4/24/2019";"Sachsen";"09661";"Striegistal";"";"";"Marbach";"535/1";"14522230";"51,029125";"13,200589";"";"";"Saubusch";"65";"66";"ENERCON GmbH";"E66/18.70-2";"";"";"Horizontalläufer";"Windkraft an Land";"5/26/2023";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE923661453728";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL931948403274";"EEG901616144211";"E41081010000000000000000000008236";"11/13/2001";"1800";"";"";"";"";""
"SEE910518783725";"WP ObG WEA1";"In Betrieb";"Wind";"1800";"1800";"2/25/2003";"4/24/2019";"Sachsen";"09322";"Penig";"";"";"Obergräfenhain";"325";"14522350";"50,981468";"12,71819";"";"";"Obergräfenhain";"65";"66";"ENERCON GmbH";"E-66/18.70";"";"";"Horizontalläufer";"Windkraft an Land";"11/12/2019";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE931886263336";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL988672147004";"EEG975980407555";"E41081010000000000000000000008244";"2/25/2003";"1800";"";"";"";"";""
"SEE973573909646";"WP ObG WEA2";"In Betrieb";"Wind";"1800";"1800";"3/6/2003";"4/24/2019";"Sachsen";"09322";"Penig";"";"";"Obergräfenhain";"337";"14522460";"50,983254";"12,717894";"";"";"Obergräfenhain";"65";"66";"ENERCON GmbH";"E-66/18.70";"";"";"Horizontalläufer";"Windkraft an Land";"9/18/2019";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE931886263336";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL988672147004";"EEG903977261798";"E41081010000000000000000000008245";"3/6/2003";"1800";"";"";"";"";""
"SEE953740975858";"Ber3";"In Betrieb";"Wind";"1500";"1500";"4/4/2002";"4/25/2019";"Sachsen";"09600";"Weißenborn";"";"";"Berthelsdorf";"Berthelsdorf Flurstück 313";"14522590";"50,854064";"13,367392";"";"";"WP Berthelsdorf";"";"70";"GE Wind Energy GmbH";"GE 1.5s";"";"";"Vertikalläufer";"Windkraft an Land";"11/22/2021";"";"";"Betreibergemeinschaft Windpark Weißenborn c/o Heliotec Betriebs- und Verwaltungsgesellschaft mbH";"ABR972917744714";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL974278378997";"EEG934756865920";"E41081010000000000000000000006153";"4/4/2002";"1500";"";"";"";"";""
"SEE928796907979";"WP RD WEA1";"In Betrieb";"Wind";"1800";"1800";"3/13/2003";"4/25/2019";"Sachsen";"04565";"Regis-Breitingen";"";"";"Ramsdorf";"112/8";"14729360";"51,094186";"12,358458";"";"";"Ramsdorf";"98";"66";"ENERCON GmbH";"E-66/18.70";"";"";"Horizontalläufer";"Windkraft an Land";"6/13/2023";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE934316996439";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL919169082911";"EEG933876701583";"E41081010000000000000000000007984";"3/13/2003";"1800";"";"";"";"";""
"SEE904871694408";"Met1";"In Betrieb";"Wind";"3170";"3170";"11/15/2013";"4/25/2019";"Sachsen";"09306";"Zettlitz";"";"";"Hermsdorf";"293/2";"14522600";"51,08437";"12,86653";"";"";"WP Methau";"";"114";"Senvion Deutschland GmbH";"3.2M";"";"";"Vertikalläufer";"Windkraft an Land";"3/4/2022";"";"";"AGRO-Naturenergie GmbH";"ABR957334486911";"Volleinspeisung";"SGE961132902214";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL916766152719";"EEG967914940696";"E41081010000000000000000000127821";"11/15/2013";"3170";"";"";"";"";""
"SEE996955177396";"Met2";"In Betrieb";"Wind";"3170";"3170";"11/16/2013";"4/25/2019";"Sachsen";"09306";"Zettlitz";"";"";"Hermsdorf";"270/1";"14522600";"51,08193";"12,86974";"";"";"WP Methau";"";"114";"REpower Systems SE";"3.2M";"";"";"Vertikalläufer";"Windkraft an Land";"1/20/2022";"";"";"AGRO-Naturenergie GmbH";"ABR957334486911";"Volleinspeisung";"SGE961132902214";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL916766152719";"EEG909594426558";"E41081010000000000000000000127820";"11/16/2013";"3170";"";"";"";"";""
"SEE935283478430";"WP RD WEA5";"In Betrieb";"Wind";"1800";"1800";"3/21/2003";"4/25/2019";"Sachsen";"04565";"Regis-Breitingen";"";"";"Hagenest";"335/2";"14729360";"51,101702";"12,357664";"";"";"Ramsdorf";"98";"66";"ENERCON GmbH";"E-66/18.70";"";"";"Horizontalläufer";"Windkraft an Land";"6/13/2023";"";"";"Windstromer GmbH & Co. Anlagen KG";"ABR900294040266";"Volleinspeisung";"SGE934316996439";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL951776918184";"EEG978328677832";"E41081010000000000000000000007988";"3/21/2003";"1800";"";"";"";"";""
"SEE919360797034";"Pfa4";"In Betrieb";"Wind";"2400";"2400";"8/29/2016";"4/25/2019";"Sachsen";"08233";"Hartmannsgrün";"";"";"Pfaffengrün";"258";"14523430";"50,572896";"12,280694";"";"";"WP Pfaffengrün";"";"117";"Nordex Energy GmbH";"N117";"";"";"Vertikalläufer";"Windkraft an Land";"6/9/2021";"";"";"Windkraft Pfaffengrün GmbH & Co.KG";"ABR973210440594";"Volleinspeisung";"SGE929793049365";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL963837432287";"EEG985028663409";"E41081010000000000000000000218124";"8/29/2016";"2400";"";"";"";"";""
"SEE985311202131";"93232";"In Betrieb";"Wind";"2050";"2050";"3/5/2015";"4/26/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Zscheilitz";"94";"14627130";"51,214998";"13,354791";"";"";"Windpark Wölkisch GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM92";"";"";"Horizontalläufer";"Windkraft an Land";"11/10/2021";"";"";"Windpark Wölkisch GmbH & Co. KG";"ABR993614785169";"Volleinspeisung";"SGE919066915831";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG921012051661";"E41874010000000000314103439100001";"3/5/2015";"2050";"";"";"";"";""
"SEE980446352102";"93230";"In Betrieb";"Wind";"2050";"2050";"3/3/2015";"4/26/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Zscheilitz";"91";"14627130";"51,214525";"13,358427";"";"";"Windpark Wölkisch GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM92";"";"";"Horizontalläufer";"Windkraft an Land";"11/10/2021";"";"";"Windpark Wölkisch GmbH & Co. KG";"ABR993614785169";"Volleinspeisung";"SGE919066915831";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG998458552052";"E41874010000000000314103439000001";"3/3/2015";"2050";"";"";"";"";""
"SEE981054333767";"93231";"In Betrieb";"Wind";"2050";"2050";"2/26/2015";"4/26/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Zscheilitz";"76";"14627130";"51,213292";"13,361582";"";"";"Windpark Wölkisch GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM92";"";"";"Horizontalläufer";"Windkraft an Land";"9/11/2023";"";"";"Windpark Wölkisch GmbH & Co. KG";"ABR993614785169";"Volleinspeisung";"SGE919066915831";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG912947295640";"E41874010000000000314103438900001";"2/26/2015";"2050";"";"";"";"";""
"SEE906968145060";"93234";"In Betrieb";"Wind";"2050";"2050";"4/15/2015";"4/26/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Lautzschen";"90";"14627130";"51,218183";"13,344407";"";"";"Windpark Wölkisch GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM92";"";"";"Horizontalläufer";"Windkraft an Land";"11/10/2021";"";"";"Windpark Wölkisch GmbH & Co. KG";"ABR993614785169";"Volleinspeisung";"SGE919066915831";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG916413813574";"E41874010000000000314103439400001";"4/15/2015";"2050";"";"";"";"";""
"SEE929857837907";"Sad3";"In Betrieb";"Wind";"500";"500";"7/1/1999";"4/26/2019";"Sachsen";"01723";"Wilsdruff";"";"";"Sadisdorf";"360";"14627100";"50,826592";"13,634721";"";"";"WP Sadisdorf";"";"40";"ENERCON GmbH";"E40";"";"";"Vertikalläufer";"Windkraft an Land";"9/28/2021";"";"";"Betreibergesellschaft Windkraft Sadisdorf I GbR";"ABR955367619412";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL965995520318";"EEG996752514691";"E41874010000000000114000262200001";"9/15/1999";"500";"";"";"";"";""
"SEE996349634795";"WEA 1";"In Betrieb";"Wind";"1500";"1500";"12/21/2006";"4/26/2019";"Sachsen";"04519";"Rackwitz";"Salzstraße";"999 Z";"";"";"14730250";"51,456627";"12,391098";"";"";"provent Windpark Rackwitz";"65";"70";"Nordex Energy GmbH";"S70 R65";"";"";"Horizontalläufer";"Windkraft an Land";"11/30/2022";"";"";"natürliche Person (ABR900443640545)";"ABR900443640545";"Volleinspeisung";"SGE999826179062";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL918374931069";"EEG919530104129";"E41081010000000000000000000034204";"12/21/2006";"1500";"";"";"";"";""
"SEE967260395799";"Sad1";"In Betrieb";"Wind";"500";"500";"7/1/1999";"4/26/2019";"Sachsen";"01744";"Dippoldiswalde";"Obere Dorfstraße";"24 a";"";"";"14628060";"50,82339";"13,638492";"";"";"WP Sadisdorf";"";"40";"ENERCON GmbH";"E40";"";"";"Vertikalläufer";"Windkraft an Land";"4/17/2023";"";"";"WKE Windkraft Elektroenergie GmbH";"ABR910774023498";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL965995520318";"EEG929948753741";"E41874010000000003141000516000001";"7/1/1999";"500";"";"";"";"";""
"SEE992244066709";"Zug3";"In Betrieb";"Wind";"600";"600";"12/10/2002";"4/26/2019";"Sachsen";"09599";"Freiberg";"";"";"Langenrinne";"168/2";"14522180";"50,883523";"13,366831";"";"";"WP Zug";"78";"44";"ENERCON GmbH";"E40 6.44";"";"";"Horizontalläufer";"Windkraft an Land";"3/19/2021";"";"";"Pool Verwaltungsgesellschaft Windpark Zug";"ABR930694304798";"Volleinspeisung";"";"Freiberger Stromversorgung GmbH (SNB990971435621)";"SNB990971435621";"Geprüft";"Mittelspannung";"SEL933572916175";"EEG953173832759";"E41081010000000000000000000008790";"12/10/2002";"600";"";"";"";"";""
"SEE989086357256";"Zug4";"In Betrieb";"Wind";"2300";"2300";"3/4/2016";"4/26/2019";"Sachsen";"09599";"Freiberg";"";"";"Zug Langenrinne";"167/2";"14522035";"50,886944";"13,365";"";"";"WP Zug";"";"70";"ENERCON GmbH";"E70";"";"";"Vertikalläufer";"Windkraft an Land";"6/9/2021";"";"";"Windkraft Zug GmbH & Co.KG";"ABR986704648666";"Volleinspeisung";"SGE955431269895";"Freiberger Stromversorgung GmbH (SNB990971435621)";"SNB990971435621";"Geprüft";"Mittelspannung";"SEL932932116682";"EEG943178108737";"E4086801S13025014F001000000000001";"3/4/2016";"2300";"";"";"";"";""
"SEE962515882277";"WEA 2";"In Betrieb";"Wind";"1500";"1500";"12/21/2006";"4/26/2019";"Sachsen";"04519";"Rackwitz";"";"";"Rackwitz";"Flur3: 011";"14730250";"51,45233";"12,384317";"";"";"provent Windpark Rackwitz";"65";"70";"Südwind Borsig Energy GmbH";"S70 R65";"";"";"Horizontalläufer";"Windkraft an Land";"1/27/2022";"";"";"Provent Windpark Rackwitz GmbH & Co.KG";"ABR982012879235";"Volleinspeisung";"SGE985732670298";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL918374931069";"EEG978858433243";"E41081010000000000000000000009980";"12/21/2006";"1500";"";"";"";"";""
"SEE909648759922";"Rei5";"In Betrieb";"Wind";"3450";"3450";"12/10/2018";"5/6/2019";"Sachsen";"08141";"Reinsdorf";"";"";"Reinsdorf";"1810/2";"14524250";"50,677384";"12,583078";"";"";"WP Reinsdorf";"";"117";"Vestas Deutschland GmbH";"V 117";"";"";"Vertikalläufer";"Windkraft an Land";"8/15/2023";"";"";"IKARUS Windenergieanlage ZWEI GmbH & Co.KG";"ABR963018049181";"Volleinspeisung";"SGE944410217620";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL971343138470";"EEG946911293462";"E41081010000000000000000000234532";"12/10/2018";"3450";"WIN18-1/003,";"";"";"";""
"SEE905054034455";"Rei4";"In Betrieb";"Wind";"3450";"3450";"9/28/2017";"5/7/2019";"Sachsen";"08141";"Reinsdorf";"";"";"Reinsdorf";"1786/1";"14524250";"50,678065";"12,57971";"";"";"WP Reinsdorf";"";"117";"Vestas Deutschland GmbH";"V117";"";"";"Vertikalläufer";"Windkraft an Land";"6/9/2021";"";"";"IKARUS Windenergieanlage EINS GmbH & Co.KG";"ABR961615558594";"Volleinspeisung";"SGE970296999121";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL974933365546";"EEG907955931574";"E41081010000000000000000000234531";"9/28/2017";"3450";"";"";"";"";""
"SEE917086878495";"WP RD WEA2";"In Betrieb";"Wind";"1800";"1800";"3/11/2003";"5/9/2019";"Sachsen";"04565";"Regis-Breitingen";"";"";"Ramsdorf";"Flur 112 / Flurstück 8";"14729360";"51,096088";"12,358182";"";"";"WP RD WEA2";"98";"66";"ENERCON GmbH";"E-66/18.70";"";"";"Horizontalläufer";"Windkraft an Land";"1/13/2023";"";"";"natürliche Person (ABR990775126831)";"ABR990775126831";"Volleinspeisung";"SGE915854933377";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL919169082911";"EEG905669517442";"E41081010000000000000000000007985";"3/11/2003";"1800";"";"";"";"";""
"SEE968605521323";"70027";"In Betrieb";"Wind";"1500";"1500";"7/12/2002";"5/10/2019";"Sachsen";"02827";"Görlitz";"";"";"Ludwigsdorf";"3, Flurstück: 23/2";"14626110";"51,194461";"14,976808";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"65";"70";"ENERCON GmbH";"E 66 18.70";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2021";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"ABR916388132687";"Volleinspeisung";"SGE909737165771";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL972250945663";"EEG904963164628";"E41874010000000000314100049800001";"7/12/2002";"1500";"";"";"";"";""
"SEE950901369778";"70025";"In Betrieb";"Wind";"1500";"1500";"7/16/2002";"5/10/2019";"Sachsen";"02827";"Görlitz";"";"";"Ludwigsdorf";"3, Flurstück: 22";"14626110";"51,194981";"14,97243";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"65";"70";"ENERCON GmbH";"E 66 18.70";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2021";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"ABR916388132687";"Volleinspeisung";"SGE909737165771";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL972250945663";"EEG923328138791";"E41874010000000000114048768900001";"7/16/2002";"1500";"";"";"";"";""
"SEE948086415502";"70028";"In Betrieb";"Wind";"1500";"1500";"8/7/2002";"5/10/2019";"Sachsen";"02827";"Görlitz";"";"";"Ludwigsdorf";"4, Flurstück: 161/3";"14626110";"51,202565";"14,964198";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"65";"70";"ENERCON GmbH";"E 66 18.70";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2021";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"ABR916388132687";"Volleinspeisung";"SGE909737165771";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL972250945663";"EEG968354095960";"E41874010000000000314100049900001";"8/7/2002";"1500";"";"";"";"";""
"SEE916017694364";"70026";"In Betrieb";"Wind";"1500";"1500";"8/12/2002";"5/10/2019";"Sachsen";"02827";"Görlitz";"";"";"Ludwigsdorf";"4, Flurstück: 150";"14626110";"51,204435";"14,963682";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"65";"70";"ENERCON GmbH";"E 66 18.70";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2021";"";"";"WSB Windpark Görlitz GmbH & Co. KG";"ABR916388132687";"Volleinspeisung";"SGE909737165771";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL972250945663";"EEG909426885928";"E41874010000000000314100049700001";"8/12/2002";"1500";"";"";"";"";""
"SEE912541119847";"S46-Stolpen";"In Betrieb";"Wind";"600";"600";"2/10/1998";"5/10/2019";"Sachsen";"01833";"Stolpen";"Am Gemeindeteich";"";"";"";"14628380";"51,058671";"14,141647";"";"";"46510";"60";"46";"Südwind Borsig Energy GmbH";"S46";"";"";"Horizontalläufer";"Windkraft an Land";"5/28/2019";"";"";"Windkraft Stolpen GbR";"ABR912047101889";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL965766331358";"EEG920512999879";"E41874010000000000114000260800001";"2/10/1998";"600";"";"";"";"";""
"SEE987302434750";"Windpark Bernsdorf Anlage Graf I";"In Betrieb";"Wind";"1000";"1000";"9/27/2001";"5/30/2019";"Sachsen";"02994";"Bernsdorf";"";"";"Bernsdorf";"Flur 8 Flurstück 37";"14625030";"51,382885";"14,090769";"";"";"Windpark Bernsdorf";"80";"60";"NEG Micon Deutschland GmbH";"NM60-1000";"";"";"Horizontalläufer";"Windkraft an Land";"6/23/2023";"";"";"natürliche Person (ABR937647931155)";"ABR937647931155";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL976537750384";"EEG956053365484";"E41081010000000000000000000007566";"9/27/2001";"1000";"";"";"";"";""
"SEE950741385495";"15550534";"In Betrieb";"Wind";"1500";"1500";"12/19/2001";"5/15/2019";"Sachsen";"06925";"Annaburg";"";"";"Plossig";"6, Flurstück: 100";"14730030";"51,41756";"12,572527";"";"";"Windpark Prettin 1";"96";"77";"GE Wind Energy GmbH";"EW 1,5 sl";"";"";"Horizontalläufer";"Windkraft an Land";"1/5/2022";"";"";"WSB Windpark Prettin 1 GmbH & Co. KG";"ABR975807464334";"Volleinspeisung";"SGE935466522738";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL995883688134";"EEG920687236298";"E41081010000000000000000000008437";"12/19/2001";"1500";"";"";"";"";""
